n pwm temp
0 76 40
1 76 40
2 76 40
3 76 40
4 76 40
5 76 40
6 76 40
7 76 40
8 76 40
9 76 40
10 76 40
11 76 40
12 76 40
13 76 40
14 76 40
15 76 40
16 76 40
17 76 40
18 76 40
19 76 40
20 178 40
21 178 40
22 178 40
23 178 40
24 178 40.5
25 178 40.9875
26 178 41.4628
27 178 41.9262
28 178 42.3781
29 178 42.8186
30 178 43.2482
31 178 43.667
32 178 44.0753
33 178 44.4734
34 178 44.8616
35 178 45.24
36 178 45.609
37 178 45.9688
38 178 46.3196
39 178 46.6616
40 178 46.9951
41 178 47.3202
42 178 47.6372
43 178 47.9462
44 178 48.2476
45 178 48.5414
46 178 48.8279
47 178 49.1072
48 178 49.3795
49 178 49.645
50 178 49.9039
51 178 50.1563
52 178 50.4024
53 178 50.6423
54 178 50.8763
55 178 51.1043
56 178 51.3267
57 178 51.5436
58 178 51.755
59 178 51.9611
60 178 52.1621
61 178 52.358
62 178 52.5491
63 178 52.7354
64 178 52.917
65 178 53.094
66 178 53.2667
67 178 53.435
68 178 53.5991
69 178 53.7592
70 178 53.9152
71 178 54.0673
72 178 54.2156
73 178 54.3602
74 178 54.5012
75 178 54.6387
76 178 54.7727
77 178 54.9034
78 178 55.0308
79 178 55.1551
80 178 55.2762
81 178 55.3943
82 178 55.5094
83 178 55.6217
84 178 55.7311
85 178 55.8379
86 178 55.9419
87 178 56.0434
88 178 56.1423
89 178 56.2387
90 178 56.3328
91 178 56.4244
92 178 56.5138
93 178 56.601
94 178 56.686
95 178 56.7688
96 178 56.8496
97 178 56.9284
98 178 57.0051
99 178 57.08
100 178 57.153
101 178 57.2242
102 178 57.2936
103 178 57.3612
104 178 57.4272
105 178 57.4915
106 178 57.5542
107 178 57.6154
108 178 57.675
109 178 57.7331
110 178 57.7898
111 178 57.8451
112 178 57.8989
113 178 57.9515
114 178 58.0027
115 178 58.0526
116 178 58.1013
117 178 58.1488
118 178 58.195
119 178 58.2402
120 178 58.2842
121 178 58.3271
122 178 58.3689
123 178 58.4097
124 178 58.4494
125 178 58.4882
126 178 58.526
127 178 58.5628
128 178 58.5988
129 178 58.6338
130 178 58.6679
131 178 58.7012
132 178 58.7337
133 178 58.7654
134 178 58.7962
135 178 58.8263
136 178 58.8557
137 178 58.8843
138 178 58.9122
139 178 58.9394
140 178 58.9659
141 178 58.9917
142 178 59.0169
143 178 59.0415
144 178 59.0655
145 178 59.0888
146 178 59.1116
147 178 59.1338
148 178 59.1555
149 178 59.1766
150 178 59.1972
151 178 59.2173
152 178 59.2368
153 178 59.2559
154 178 59.2745
155 178 59.2926
156 178 59.3103
157 178 59.3276
158 178 59.3444
159 178 59.3608
160 178 59.3767
161 178 59.3923
162 178 59.4075
163 178 59.4223
164 178 59.4368
165 178 59.4509
166 178 59.4646
167 178 59.478
168 178 59.491
169 178 59.5037
170 178 59.5162
171 178 59.5282
172 178 59.54
173 178 59.5515
174 178 59.5628
175 178 59.5737
176 178 59.5843
177 178 59.5947
178 178 59.6049
179 178 59.6147
180 178 59.6244
181 178 59.6338
182 178 59.6429
183 178 59.6518
184 178 59.6606
185 178 59.669
186 178 59.6773
187 178 59.6854
188 178 59.6932
189 178 59.7009
190 178 59.7084
191 178 59.7157
192 178 59.7228
193 178 59.7297
194 178 59.7365
195 178 59.7431
196 178 59.7495
197 178 59.7558
198 178 59.7619
199 178 59.7678
200 178 59.7736
201 178 59.7793
202 178 59.7848
203 178 59.7902
204 178 59.7954
205 178 59.8005
206 178 59.8055
207 178 59.8104
208 178 59.8151
209 178 59.8197
210 178 59.8243
211 178 59.8286
212 178 59.8329
213 178 59.8371
214 178 59.8412
215 178 59.8451
216 178 59.849
217 178 59.8528
218 178 59.8565
219 178 59.8601
220 178 59.8636
221 178 59.867
222 178 59.8703
223 178 59.8735
224 178 59.8767
225 178 59.8798
226 178 59.8828
227 178 59.8857
228 178 59.8886
229 178 59.8914
230 178 59.8941
231 178 59.8967
232 178 59.8993
233 178 59.9018
234 178 59.9043
235 178 59.9067
236 178 59.909
237 178 59.9113
238 178 59.9135
239 178 59.9157
240 178 59.9178
241 178 59.9198
242 178 59.9218
243 178 59.9238
244 178 59.9257
245 178 59.9275
246 178 59.9294
247 178 59.9311
248 178 59.9328
249 178 59.9345
250 178 59.9362
251 178 59.9378
252 178 59.9393
253 178 59.9408
254 178 59.9423
255 178 59.9438
256 178 59.9452
257 178 59.9465
258 178 59.9479
259 178 59.9492
260 178 59.9504
261 178 59.9517
262 178 59.9529
263 178 59.9541
264 178 59.9552
265 178 59.9563
266 178 59.9574
267 178 59.9585
268 178 59.9595
269 178 59.9605
270 178 59.9615
271 178 59.9625
272 178 59.9634
273 178 59.9643
274 178 59.9652
275 178 59.9661
276 178 59.9669
277 178 59.9678
278 178 59.9686
279 178 59.9694
280 178 59.9701
281 178 59.9709
282 178 59.9716
283 178 59.9723
284 178 59.973
285 178 59.9737
286 178 59.9743
287 178 59.975
288 178 59.9756
289 178 59.9762
290 178 59.9768
291 178 59.9774
292 178 59.978
293 178 59.9785
294 178 59.979
295 178 59.9796
296 178 59.9801
297 178 59.9806
298 178 59.9811
299 178 59.9815
300 178 59.982
301 178 59.9824
302 178 59.9829
303 178 59.9833
304 178 59.9837
305 178 59.9841
306 178 59.9845
307 178 59.9849
308 178 59.9853
309 178 59.9857
310 178 59.986
311 178 59.9864
312 178 59.9867
313 178 59.987
314 178 59.9874
315 178 59.9877
316 178 59.988
317 178 59.9883
318 178 59.9886
319 178 59.9889
